,Theater,Link,city
61,CGV시흥,http://www.cgv.co.kr/theaters/?areacode=02&theaterCode=0073&date=20230530,경기
62,CGV안산,http://www.cgv.co.kr/theaters/?areacode=02&theaterCode=0211&date=20230530,경기
63,CGV안성,http://www.cgv.co.kr/theaters/?areacode=02&theaterCode=0279&date=20230530,경기
64,CGV야탑,http://www.cgv.co.kr/theaters/?areacode=02&theaterCode=0003&date=20230530,경기
65,CGV양주옥정,http://www.cgv.co.kr/theaters/?areacode=02&theaterCode=0262&date=20230530,경기
66,CGV역곡,http://www.cgv.co.kr/theaters/?areacode=02&theaterCode=0338&date=20230530,경기
67,CGV오리,http://www.cgv.co.kr/theaters/?areacode=02&theaterCode=0004&date=20230530,경기
68,CGV오산,http://www.cgv.co.kr/theaters/?areacode=02&theaterCode=0305&date=20230530,경기
69,CGV오산중앙,http://www.cgv.co.kr/theaters/?areacode=02&theaterCode=0307&date=20230530,경기
70,CGV용인,http://www.cgv.co.kr/theaters/?areacode=02&theaterCode=0271&date=20230530,경기
71,CGV의정부,http://www.cgv.co.kr/theaters/?areacode=02&theaterCode=0113&date=20230530,경기
72,CGV의정부태흥,http://www.cgv.co.kr/theaters/?areacode=02&theaterCode=0187&date=20230530,경기
73,CGV이천,http://www.cgv.co.kr/theaters/?areacode=02&theaterCode=0205&date=20230530,경기
74,CGV일산,http://www.cgv.co.kr/theaters/?areacode=02&theaterCode=0054&date=20230530,경기
75,CGV정왕,http://www.cgv.co.kr/theaters/?areacode=02&theaterCode=0320&date=20230530,경기
76,CGV죽전(리뉴얼중),http://www.cgv.co.kr/theaters/?areacode=02&theaterCode=0055&date=20230530,경기
77,CGV파주문산,http://www.cgv.co.kr/theaters/?areacode=02&theaterCode=0148&date=20230530,경기
78,CGV파주야당,http://www.cgv.co.kr/theaters/?areacode=02&theaterCode=0310&date=20230530,경기
79,CGV판교,http://www.cgv.co.kr/theaters/?areacode=02&theaterCode=0181&date=20230530,경기
80,CGV평촌,http://www.cgv.co.kr/theaters/?areacode=02&theaterCode=0195&date=20230530,경기
81,CGV평택,http://www.cgv.co.kr/theaters/?areacode=02&theaterCode=0052&date=20230530,경기
82,CGV평택고덕,http://www.cgv.co.kr/theaters/?areacode=02&theaterCode=0334&date=20230530,경기
83,CGV평택소사,http://www.cgv.co.kr/theaters/?areacode=02&theaterCode=0214&date=20230530,경기
84,CGV포천,http://www.cgv.co.kr/theaters/?areacode=02&theaterCode=0309&date=20230530,경기
85,CGV하남미사,http://www.cgv.co.kr/theaters/?areacode=02&theaterCode=0326&date=20230530,경기
86,CGV화성봉담,http://www.cgv.co.kr/theaters/?areacode=02&theaterCode=0301&date=20230530,경기
87,CGV화정,http://www.cgv.co.kr/theaters/?areacode=02&theaterCode=0145&date=20230530,경기
88,DRIVE IN 용인크랙사이드,http://www.cgv.co.kr/theaters/?areacode=02&theaterCode=0365&date=20230530,경기
89,CGV계양,http://www.cgv.co.kr/theaters/?areacode=202&theaterCode=0043&date=20230530,인천
90,CGV남주안,http://www.cgv.co.kr/theaters/?areacode=202&theaterCode=0198&date=20230530,인천
91,CGV부평,http://www.cgv.co.kr/theaters/?areacode=202&theaterCode=0021&date=20230530,인천
92,CGV송도타임스페이스,http://www.cgv.co.kr/theaters/?areacode=202&theaterCode=0325&date=20230530,인천
93,CGV연수역,http://www.cgv.co.kr/theaters/?areacode=202&theaterCode=0247&date=20230530,인천
94,CGV인천,http://www.cgv.co.kr/theaters/?areacode=202&theaterCode=0002&date=20230530,인천
95,CGV인천가정(루원시티),http://www.cgv.co.kr/theaters/?areacode=202&theaterCode=0296&date=20230530,인천
